,close,open,high,low,Volume BTC,NewDateTime,returns,log_returns,SOPR,fundingRate,googleTrend
0,8431.82,8145.28,8455.0,8142.0,11041.87,2020-01-08 00:00:00,1.0351786556140488,0.03457402594108325,1.011290561,0.0100,89
1,8370.92,8431.82,8448.14,8328.89,7355.82,2020-01-08 01:00:00,0.9927773600480087,-0.007248849493570393,1.011290561,0.0100,86
2,8278.59,8370.92,8422.0,8256.74,4048.91,2020-01-08 02:00:00,0.988970149039771,-0.01109113078787129,1.011290561,0.0100,75
3,8300.34,8278.59,8344.0,8244.93,3947.38,2020-01-08 03:00:00,1.0026272589897556,0.002623813777845965,1.011290561,0.0100,68
4,8344.63,8300.34,8355.87,8288.0,2374.55,2020-01-08 04:00:00,1.005335925998212,0.005321740384962869,1.011290561,0.0100,68
5,8334.77,8344.63,8377.0,8307.85,2376.44,2020-01-08 05:00:00,0.9988184017745546,-0.001182296863022083,1.011290561,0.0100,70
6,8339.13,8334.77,8367.61,8319.0,1562.87,2020-01-08 06:00:00,1.0005231098158676,0.0005229730416243873,1.011290561,0.0100,72
7,8297.26,8339.13,8347.99,8277.21,2539.82,2020-01-08 07:00:00,0.994979092543227,-0.005033554563680181,1.011290561,0.0100,67
8,8312.04,8297.26,8329.09,8264.86,2289.27,2020-01-08 08:00:00,1.0017813109387919,0.0017797262860219903,1.011290561,0.0125,66
9,8297.21,8312.04,8321.83,8276.0,1892.3,2020-01-08 09:00:00,0.9982158411172225,-0.0017857523898989918,1.011290561,0.0125,69
10,8326.98,8297.21,8359.0,8284.19,2168.0,2020-01-08 10:00:00,1.0035879530589198,0.003581531710424224,1.011290561,0.0125,68
11,8332.47,8326.98,8370.0,8325.03,1881.02,2020-01-08 11:00:00,1.000659302652342,0.0006590854078296937,1.011290561,0.0125,67
12,8286.16,8332.47,8347.33,8276.0,2179.76,2020-01-08 12:00:00,0.9944422242144286,-0.005573277685483168,1.011290561,0.0125,64
13,8384.99,8286.16,8418.61,8215.2,6630.22,2020-01-08 13:00:00,1.0119271170240498,0.01185654952086011,1.011290561,0.0125,64
14,8310.98,8384.99,8385.0,8184.0,5730.38,2020-01-08 14:00:00,0.9911735136237491,-0.008865670549907586,1.011290561,0.0125,64
