t,v
2020-05-13T00:00:00Z,1.010486506
2020-05-14T00:00:00Z,1.01458813
2020-05-15T00:00:00Z,1.00893113
2020-05-16T00:00:00Z,1.005774296
2020-05-17T00:00:00Z,1.010840368
2020-05-18T00:00:00Z,1.018859182
2020-05-19T00:00:00Z,1.010130971
2020-05-20T00:00:00Z,1.00903616
2020-05-21T00:00:00Z,0.996545939
2020-05-22T00:00:00Z,0.999161383
2020-05-23T00:00:00Z,1.004598828
2020-05-24T00:00:00Z,1.003105961
2020-05-25T00:00:00Z,0.987730528
2020-05-26T00:00:00Z,0.998258858
2020-05-27T00:00:00Z,1.005843866
2020-05-28T00:00:00Z,1.008570626
2020-05-29T00:00:00Z,1.00412955
2020-05-30T00:00:00Z,1.00532627
2020-05-31T00:00:00Z,1.004632858
2020-06-01T00:00:00Z,1.011940509
2020-06-02T00:00:00Z,1.012390115
2020-06-03T00:00:00Z,1.004229053
2020-06-04T00:00:00Z,1.005925272
2020-06-05T00:00:00Z,1.004640032
2020-06-06T00:00:00Z,1.005963031
2020-06-07T00:00:00Z,1.004607813
2020-06-08T00:00:00Z,1.018534209
2020-06-09T00:00:00Z,1.006728899
2020-06-10T00:00:00Z,1.004687389
2020-06-11T00:00:00Z,1.001028426
2020-06-12T00:00:00Z,1.001198321
2020-06-13T00:00:00Z,1.002297869
2020-06-14T00:00:00Z,1.00367159
2020-06-15T00:00:00Z,0.995980722
2020-06-16T00:00:00Z,1.005507966
2020-06-17T00:00:00Z,1.002245643
2020-06-18T00:00:00Z,1.039465242
2020-06-19T00:00:00Z,1.00008693
2020-06-20T00:00:00Z,1.002657496
2020-06-21T00:00:00Z,1.006040071
2020-06-22T00:00:00Z,1.006367771
2020-06-23T00:00:00Z,1.00564817
2020-06-24T00:00:00Z,0.998136109
2020-06-25T00:00:00Z,0.99772443
2020-06-26T00:00:00Z,1.028876027
2020-06-27T00:00:00Z,1.000488718
2020-06-28T00:00:00Z,0.999038686
2020-06-29T00:00:00Z,1.001413266
2020-06-30T00:00:00Z,1.005384524
2020-07-01T00:00:00Z,1.002272025
2020-07-02T00:00:00Z,1.000273881
2020-07-03T00:00:00Z,1.000613084
2020-07-04T00:00:00Z,1.000834976
2020-07-05T00:00:00Z,0.999496289
2020-07-06T00:00:00Z,1.003339524
2020-07-07T00:00:00Z,1.002920262
2020-07-08T00:00:00Z,1.013745129
2020-07-09T00:00:00Z,1.00410442
2020-07-10T00:00:00Z,0.999364614
2020-07-11T00:00:00Z,1.001384725
2020-07-12T00:00:00Z,1.001527616
2020-07-13T00:00:00Z,1.000332771
2020-07-14T00:00:00Z,1.007134265
